Proband_id,n_muts,n_father,n_mother
120711,66,51,13
121087,37,36,1
121115,74,64,10
121496,61,47,11
121649,49,34,12
121650,50,37,13
122411,64,49,10
122976,57,42,14
123466,51,46,4
123888,70,53,10
124112,56,43,13
124437,44,33,10
124800,74,60,12
124887,73,65,6
125046,62,38,24
126045,94,68,26
127416,56,46,10
127678,50,38,12
128158,63,54,8
128636,72,62,8
129752,74,57,15
129865,65,51,13
130319,75,63,10
130437,69,54,14
130461,45,37,8
130614,47,43,3
130728,62,45,11
130739,54,44,10
130799,59,50,8
130811,54,38,11
131854,58,48,7
132315,47,41,6
132388,56,43,10
132716,54,41,13
133117,58,39,19
133493,49,40,8
134433,86,70,14
134503,65,53,11
134690,76,54,14
134903,73,54,17
135450,53,40,13
135652,75,63,12
136092,75,58,10
136238,67,57,8
136354,64,49,12
137081,69,59,10
137443,100,83,14
137878,47,42,4
138408,75,56,19
139342,59,41,16
139512,62,48,11
139667,74,57,15
141153,78,65,9
141173,74,54,18
141237,90,64,24
141345,83,61,16
141468,64,48,14
141502,57,38,18
141749,59,41,18
141757,73,52,10
142033,106,84,19
142096,68,55,11
142888,85,54,20
142988,98,69,29
143069,58,47,9
143074,81,62,19
143440,55,38,16
144769,63,49,13
145908,73,59,14
145973,44,34,8
146353,96,75,16
146476,70,54,13
148052,60,51,8
148163,65,56,8
148486,70,45,12
148940,53,39,14
149434,75,59,11
150946,86,66,18
151566,76,58,18
151909,45,35,8
153094,100,83,16
153657,49,41,8
154565,75,61,14
154621,50,39,11
154810,69,55,14
154936,53,36,16
